-10.0,140.0,15.0,15.0,0.0
5.0,140.0,15.0,15.0,0.0
-40.0,140.0,15.0,15.0,0.0
-55.0,140.0,15.0,15.0,0.0
35.0,140.0,15.0,15.0,0.0
50.0,140.0,15.0,15.0,0.0
65.0,140.0,15.0,15.0,0.0
80.0,140.0,15.0,15.0,0.0
20.0,140.0,15.0,15.0,4.0
95.0,140.0,15.0,15.0,4.0
-70.0,140.0,15.0,15.0,1.0
-70.0,125.0,15.0,15.0,1.0
-70.0,110.0,15.0,15.0,1.0
-70.0,95.0,15.0,15.0,1.0
-70.0,80.0,15.0,15.0,1.0
-70.0,65.0,15.0,15.0,1.0
-70.0,50.0,15.0,15.0,1.0
-55.0,50.0,15.0,15.0,1.0
50.0,50.0,15.0,15.0,1.0
65.0,50.0,15.0,15.0,1.0
80.0,50.0,15.0,15.0,1.0
95.0,50.0,15.0,15.0,1.0
110.0,140.0,15.0,15.0,0.0
125.0,140.0,15.0,15.0,0.0
140.0,140.0,15.0,15.0,0.0
155.0,140.0,15.0,15.0,4.0
170.0,140.0,15.0,15.0,4.0
185.0,140.0,15.0,15.0,4.0
200.0,140.0,15.0,15.0,0.0
35.0,50.0,15.0,15.0,1.0
-40.0,50.0,15.0,15.0,1.0
215.0,140.0,15.0,15.0,0.0
230.0,140.0,15.0,15.0,0.0
245.0,140.0,15.0,15.0,0.0
260.0,140.0,15.0,15.0,0.0
260.0,155.0,15.0,15.0,1.0
260.0,170.0,15.0,15.0,1.0
260.0,185.0,15.0,15.0,1.0
260.0,200.0,15.0,15.0,1.0
260.0,215.0,15.0,15.0,1.0
260.0,230.0,15.0,15.0,1.0
320.0,230.0,15.0,15.0,1.0
320.0,215.0,15.0,15.0,1.0
320.0,200.0,15.0,15.0,1.0
320.0,185.0,15.0,15.0,1.0
320.0,170.0,15.0,15.0,1.0
320.0,155.0,15.0,15.0,1.0
320.0,140.0,15.0,15.0,0.0
335.0,140.0,15.0,15.0,0.0
350.0,140.0,15.0,15.0,0.0
275.0,230.0,15.0,15.0,3.0
290.0,230.0,15.0,14.999996,3.0
305.0,230.0,15.0,14.999996,3.0
365.0,140.0,15.0,15.0,0.0
110.0,50.0,15.0,15.0,1.0
125.0,50.0,15.0,15.0,1.0
140.0,50.0,15.0,15.0,1.0
155.0,50.0,15.0,15.0,1.0
170.0,50.0,15.0,15.0,1.0
185.0,50.0,15.0,15.0,1.0
200.0,50.0,15.0,15.0,1.0
215.0,50.0,15.0,15.0,1.0
230.0,50.0,15.0,15.0,1.0
